,date,data_col_point,x,y,rc
0,03-26-2021,00,4.0,0.0,0.0
1,03-28-2021,00,4.0,0.0,0.0766278767306286
2,03-29-2021,00,4.0,0.0,0.0302732754328705
3,03-30-2021,00,4.0,0.0,-0.0055338235796119
4,04-01-2021,00,4.0,0.0,0.0097379082719571
5,03-26-2021,01,8.0,0.0,0.0
6,03-28-2021,01,8.0,0.0,0.0266005940834443
7,03-29-2021,01,8.0,0.0,-0.0113194898306672
8,03-30-2021,01,8.0,0.0,-0.0121477536880101
9,04-01-2021,01,8.0,0.0,-0.0286378006055929
10,03-26-2021,02,12.0,0.0,0.0
11,03-28-2021,02,12.0,0.0,-0.022063212309715
12,03-29-2021,02,12.0,0.0,-0.0447084115710125
13,03-30-2021,02,12.0,0.0,-0.0164635054779345
14,04-01-2021,02,12.0,0.0,-0.0253842588926434
15,03-26-2021,03,0.0,4.0,0.0
16,03-28-2021,03,0.0,4.0,0.0210586198591948
17,03-29-2021,03,0.0,4.0,-0.0399031257474701
18,03-30-2021,03,0.0,4.0,0.026501615929356
19,04-01-2021,03,0.0,4.0,-0.0373531035147981
20,03-26-2021,04,4.0,4.0,0.0
21,03-28-2021,04,4.0,4.0,0.0576729876851767
22,03-29-2021,04,4.0,4.0,-0.0577035778061421
23,03-30-2021,04,4.0,4.0,-0.0249706712529755
24,04-01-2021,04,4.0,4.0,-0.0058554828922242
25,03-26-2021,05,8.0,4.0,0.0
26,03-28-2021,05,8.0,4.0,-0.0093050311838882
27,03-29-2021,05,8.0,4.0,-0.1165979246896416
28,03-30-2021,05,8.0,4.0,-0.0170011567301509
29,04-01-2021,05,8.0,4.0,-0.0470716545518836
30,03-26-2021,06,12.0,4.0,0.0
31,03-28-2021,06,12.0,4.0,-0.0313591301960089
32,03-29-2021,06,12.0,4.0,-0.0486534109655006
33,03-30-2021,06,12.0,4.0,-0.0404165382778672
34,04-01-2021,06,12.0,4.0,-0.0461527640194548
35,03-26-2021,07,16.0,4.0,0.0
36,03-28-2021,07,16.0,4.0,-0.1239098440066074
37,03-29-2021,07,16.0,4.0,-0.0167539730585652
38,03-30-2021,07,16.0,4.0,-0.0738583976769707
39,04-01-2021,07,16.0,4.0,-0.1756749706272177
40,03-26-2021,08,0.0,8.0,0.0
41,03-28-2021,08,0.0,8.0,-0.0008967760983345
